district,medianhouseholdincome,meanhouseholdincome,medianfamilyincome,meanfamilyincome
Holliday Independent School District,73688,83696,80167,95951
Hondo Independent School District,52398,70860,54701,77406
Honey Grove Independent School District,42115,53750,56438,64872
Hooks Independent School District,39875,48533,43869,52949
Houston Independent School District,47717,82490,52943,95942
Howe Independent School District,57033,71665,71531,82733
Hubbard Independent School District,70139,73590,79000,83426
Huckabay Independent School District,39000,69440,71417,95999
Hudson Independent School District,42408,59222,50582,67956
Huffman Independent School District,68964,99783,87983,119576
Hughes Springs Independent School District,42255,52779,49779,61597
Hull-Daisetta Independent School District,47275,56937,67035,66094
Humble Independent School District,84907,110299,100069,122455
Hunt Independent School District,49698,80697,52917,91972
Huntington Independent School District,40625,52349,51048,62327
Huntsville Independent School District,38440,52385,57475,68446
Hurst-Euless-Bedford Independent School District,58893,73348,70426,84147
Hutto Independent School District,74735,86459,76467,86718
Idalou Independent School District,67654,88935,79750,95805
Industrial Independent School District,71992,81724,85477,90585
Ingleside Independent School District,60587,71363,61744,76367
Ingram Independent School District,40045,53408,48333,58071
Iola Independent School District,55161,76896,70417,91505
Iowa Park Consolidated Independent School District,50783,60282,64893,67117
Ira Independent School District,51196,65962,61875,76099
Iraan-Sheffield Independent School District,61429,71772,72734,82149
Iredell Independent School District,34250,73408,53472,107635
Irion County Independent School District,64100,81422,77250,92055
Irving Independent School District,46518,62117,49419,65441
Italy Independent School District,41445,55866,53750,67786
Itasca Independent School District,55230,71359,65739,85550
Jacksboro Independent School District,52637,75864,61103,86095
Jacksonville Independent School District,40381,53658,48705,61177
Jarrell Independent School District,59652,68702,74583,81354
Jasper Independent School District,40027,56009,58529,69222
Jayton-Girard Independent School District,50625,64264,67250,87271
Jefferson Independent School District,35544,52051,48606,63181
Jim Hogg County Independent School District,34769,49931,42328,57323
Jim Ned Consolidated Independent School District,75170,114049,82917,122027
Joaquin Independent School District,46818,64129,54432,71417
Johnson City Independent School District,59924,76958,80806,94363
Jonesboro Independent School District,52188,66940,61042,75136
Joshua Independent School District,65103,80153,74019,86300
Jourdanton Independent School District,56696,68178,69796,80504
Judson Independent School District,60263,70498,65089,75930
Junction Independent School District,40013,51695,50254,63792
Karnack Independent School District,51075,71150,56731,87866
Karnes City Independent School District,46285,82606,51739,87590
Katy Independent School District,97343,121792,110537,132960
Kaufman Independent School District,52695,65584,61571,74039
Keene Independent School District,41575,56476,49688,63670
Keller Independent School District,93782,116422,104261,127286
Kelton Independent School District,76250,78925,68750,73838
Kemp Independent School District,38953,51503,48525,58195
Kenedy County-Wide Common School District,24000,38658,42708,45927
Kenedy Independent School District,39780,62496,47955,63590
Kennard Independent School District,36048,42949,47118,51776
Kennedale Independent School District,72589,84473,80223,90801
Kerens Independent School District,35323,60038,49318,67009
Kermit Independent School District,51250,61503,59334,67518
Kerrville Independent School District,43492,60015,53908,71803
